timestamp,attention,meditation,rawValue,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength
1.7642974853515625e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5005452632904053,0,0,696,7218,3071,1049,660,440,205,73,45,25,0
1.0011146068572998,0,0,68,7218,3071,1049,660,440,205,73,45,25,0
1.5016963481903076,0,0,-2048,318244,77773,9365,9810,50605,44346,5598,1797,51,0
2.00227689743042,0,0,58,318244,77773,9365,9810,50605,44346,5598,1797,51,0
2.5027523040771484,0,0,634,210540,65946,36741,9588,16920,14055,10962,3558,25,0
3.003316879272461,0,0,-778,210540,65946,36741,9588,16920,14055,10962,3558,25,0
3.503472328186035,0,0,487,1327150,271818,79813,65806,32482,48386,22190,13629,51,0
4.003754138946533,0,0,258,1327150,271818,79813,65806,32482,48386,22190,13629,51,0
4.504318714141846,0,0,3,130460,19217,1851,1074,499,1626,325,960,0,0
5.0048956871032715,0,0,145,130460,19217,1851,1074,499,1626,325,960,0,0
5.505463361740112,0,0,505,650714,143154,13357,19200,12207,14261,4158,2846,0,0
6.006039381027222,0,0,189,650714,143154,13357,19200,12207,14261,4158,2846,0,0
6.50661039352417,0,0,120,422010,138844,26059,17203,18292,8602,4377,3563,0,0
7.0068888664245605,0,0,40,422010,138844,26059,17203,18292,8602,4377,3563,0,0
7.507457494735718,53,53,169,126971,15328,13186,8259,3291,6268,3204,913,0,0
8.008023500442505,53,53,116,126971,15328,13186,8259,3291,6268,3204,913,0,0
8.508598327636719,67,66,-204,875732,38911,27805,34794,23520,17242,9832,2218,0,0
9.009175062179565,67,66,41,875732,38911,27805,34794,23520,17242,9832,2218,0,0
9.509743928909302,78,61,98,327837,34118,3137,4790,5585,6164,1960,1845,0,0
10.010305643081665,78,61,181,327837,34118,3137,4790,5585,6164,1960,1845,0,0
10.510870218276978,97,77,68,5693,7739,8195,4925,1370,5182,1688,572,0,0
11.011443853378296,97,77,567,5693,7739,8195,4925,1370,5182,1688,572,0,0
11.512017726898193,91,61,80,60403,34343,6206,4058,2897,4955,2719,1005,0,0
12.012583494186401,91,61,72,60403,34343,6206,4058,2897,4955,2719,1005,0,0
12.513145685195923,70,30,128,1017220,270982,16145,3920,32852,16110,6025,6869,0,0
13.01371145248413,70,30,-229,1017220,270982,16145,3920,32852,16110,6025,6869,0,0
13.514284133911133,81,48,188,224275,30668,22250,18879,9469,16662,1513,1051,0,0
14.01475715637207,81,48,18,224275,30668,22250,18879,9469,16662,1513,1051,0,0
14.51532506942749,51,27,10,323209,40817,6084,1646,2554,1935,1226,954,0,0
15.015745162963867,51,27,9,323209,40817,6084,1646,2554,1935,1226,954,0,0
15.5163094997406,56,44,115,447114,19125,35039,6399,19186,8524,7914,3535,0,0
16.016883611679077,56,44,109,447114,19125,35039,6399,19186,8524,7914,3535,0,0
16.517452478408813,54,70,16,127477,13418,9848,1785,4956,1331,706,159,0,0
17.01774573326111,54,70,20,127477,13418,9848,1785,4956,1331,706,159,0,0
17.518312215805054,51,70,84,7189,9558,4755,7684,1800,4382,1175,882,0,0
18.018882274627686,51,70,34,7189,9558,4755,7684,1800,4382,1175,882,0,0
18.519458055496216,84,88,89,29917,6143,10789,4736,3936,15646,6573,3520,0,0
19.020034313201904,84,88,81,29917,6143,10789,4736,3936,15646,6573,3520,0,0
19.520609617233276,70,84,137,77283,6489,4235,2008,1363,1218,614,679,0,0
20.021180868148804,70,84,3,77283,6489,4235,2008,1363,1218,614,679,0,0
20.521746397018433,84,80,83,187657,10779,6499,4414,11186,4134,3856,1230,0,0
21.022312879562378,84,80,91,187657,10779,6499,4414,11186,4134,3856,1230,0,0
21.522746801376343,53,67,69,79010,29487,7894,1814,2631,1337,443,224,0,0
22.023316383361816,53,67,64,79010,29487,7894,1814,2631,1337,443,224,0,0
22.523884057998657,27,69,178,6498,2675,2048,1840,1793,665,1188,1042,0,0
23.024454593658447,27,69,91,6498,2675,2048,1840,1793,665,1188,1042,0,0
23.525023460388184,30,63,70,932222,84056,34198,8137,4869,15068,6474,1739,0,0
24.025593996047974,30,63,67,932222,84056,34198,8137,4869,15068,6474,1739,0,0
