duration,freq,instrument,intensity,note_name,session_name,timestamp
1.5,440.0,piano,0.7,C3,ai_generated,80.65758013725281
1.2,440.0,piano,0.6,G3,ai_generated,82.2575801372528
1.8,440.0,piano,0.5,A#3,ai_generated,83.55758013725281
1.4,440.0,piano,0.6,G3,ai_generated,85.4575801372528
2.0,440.0,piano,0.5,F3,ai_generated,86.9575801372528
1.6,440.0,piano,0.7,C3,ai_generated,89.05758013725281
1.3,440.0,violin,0.5,D3,ai_generated,90.7575801372528
1.7,440.0,violin,0.6,F3,ai_generated,92.15758013725281
1.5,440.0,violin,0.5,G3,ai_generated,93.9575801372528
2.1,440.0,violin,0.4,A#3,ai_generated,95.55758013725281
1.8,261.63,violin,0.5,C4,ai_generated,97.7575801372528
1.6,440.0,violin,0.6,A#3,ai_generated,99.65758013725281
1.9,440.0,violin,0.5,G3,ai_generated,101.35758013725281
2.2,440.0,piano,0.4,F3,ai_generated,103.35758013725281
1.7,440.0,piano,0.5,D3,ai_generated,105.65758013725281
2.5,440.0,piano,0.6,C3,ai_generated,107.4575801372528
1.8,440.0,piano,0.4,G2,ai_generated,110.05758013725281
2.0,440.0,piano,0.5,A#2,ai_generated,111.9575801372528
1.9,440.0,piano,0.6,C3,ai_generated,114.05758013725281
1.7,440.0,piano,0.5,D3,ai_generated,116.05758013725281
2.1,440.0,piano,0.4,F3,ai_generated,117.85758013725281
1.8,440.0,piano,0.5,G3,ai_generated,120.05758013725281
2.0,440.0,piano,0.6,F3,ai_generated,121.9575801372528
1.6,440.0,piano,0.5,D3,ai_generated,124.05758013725281
2.3,440.0,piano,0.7,C3,ai_generated,125.7575801372528
1.9,440.0,piano,0.6,G2,ai_generated,128.1575801372528
2.1,440.0,piano,0.5,A#2,ai_generated,130.1575801372528
1.8,440.0,piano,0.6,C3,ai_generated,132.3575801372528
1.7,440.0,violin,0.5,D3,ai_generated,134.2575801372528
2.0,440.0,violin,0.4,F3,ai_generated,136.0575801372528
1.6,440.0,violin,0.5,G3,ai_generated,138.1575801372528
1.9,440.0,violin,0.6,A#3,ai_generated,139.8575801372528
2.2,261.63,violin,0.5,C4,ai_generated,141.8575801372528
1.8,440.0,violin,0.6,A#3,ai_generated,144.1575801372528
2.0,440.0,violin,0.5,G3,ai_generated,146.0575801372528
1.7,440.0,violin,0.4,F3,ai_generated,148.1575801372528
2.1,440.0,piano,0.5,D3,ai_generated,149.95758013725282
2.4,440.0,piano,0.7,C3,ai_generated,152.1575801372528
1.9,440.0,flute,0.5,G2,ai_generated,154.6575801372528
2.0,440.0,flute,0.6,A#2,ai_generated,156.6575801372528
1.8,440.0,flute,0.5,C3,ai_generated,158.7575801372528
1.7,440.0,flute,0.6,D3,ai_generated,160.6575801372528
2.1,440.0,flute,0.5,F3,ai_generated,162.45758013725282
1.9,440.0,flute,0.6,G3,ai_generated,164.6575801372528
2.0,440.0,flute,0.5,A#3,ai_generated,166.6575801372528
1.8,261.63,flute,0.6,C4,ai_generated,168.7575801372528
1.9,440.0,flute,0.5,A#3,ai_generated,170.6575801372528
2.1,440.0,flute,0.6,G3,ai_generated,172.6575801372528
1.8,440.0,flute,0.5,F3,ai_generated,174.8575801372528
2.0,440.0,piano,0.7,D3,ai_generated,176.7575801372528
3.0,440.0,piano,0.8,C3,ai_generated,178.8575801372528
